path,label,pred
wallpad_HiWonder_251113/minz/minz_1_218.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_0_32.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_26.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_1_2155.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_0_27.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_33.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_1_219.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_233.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_8.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_0_25.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_31.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_19.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_18.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_30.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_24.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_1_9.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_222.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_0_20.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_34.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_35.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_21.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_37.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_23.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_1_2144.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_0_22.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_0_36.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_1_220.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_0_8.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_1_2122.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_11.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_10.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_0_9.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_1_244.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_12.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_255.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_17.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_0_40.wav,0,0.0
wallpad_HiWonder_251113/minz/minz_1_14.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_2132.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_15.wav,1,1.0
wallpad_HiWonder_251113/minz/minz_1_266.wav,1,1.0
